epoch acc loss lr val_acc val_loss
0 0.61014479582 0.860712855593 1e-05 0.570953247787 1.68371841805
1 0.661919888063 0.747608518338 1e-05 0.591816557075 0.949658266074
2 0.689914732143 0.687057961859 1e-05 0.537230222131 1.45644615708
3 0.701507354672 0.662929853316 1e-05 0.536600727079 2.58491323406
4 0.732655711528 0.601626986504 1e-05 0.531205045019 5.10784018983
5 0.752816364435 0.56467527196 1e-05 0.526438856618 5.73339171375
6 0.788635484523 0.499008053579 5e-06 0.549100729845 2.38239438199
7 0.819040088155 0.445515369776 5e-06 0.5397482092 3.68063995821
8 0.842959166353 0.399676516617 5e-06 0.550269791012 2.88458186517
9 0.864518070944 0.359648585349 5e-06 0.521492812809 4.19625521993
